batch_no,ctq_name,feature_name,feature_value,feature_type,target_value
YOG2026050101,双歧杆菌数,发酵时间,7.2,numeric,72393677.5
YOG2026050101,双歧杆菌数,发酵温度,39.9,numeric,72393677.5
YOG2026050101,双歧杆菌数,菌种类型,Bb-12,categorical,72393677.5
YOG2026050101,双歧杆菌数,待装罐储存温度,4.6,numeric,72393677.5
YOG2026050101,双歧杆菌数,配料糖添加量,9.1,numeric,72393677.5
YOG2026050101,双歧杆菌数,配料蛋白质含量,3.5,numeric,72393677.5
YOG2026050102,双歧杆菌数,发酵时间,6.9,numeric,58254330.1
YOG2026050102,双歧杆菌数,发酵温度,41.3,numeric,58254330.1
YOG2026050102,双歧杆菌数,菌种类型,BL21,categorical,58254330.1
YOG2026050102,双歧杆菌数,待装罐储存温度,4.8,numeric,58254330.1
YOG2026050102,双歧杆菌数,配料糖添加量,7.7,numeric,58254330.1
YOG2026050102,双歧杆菌数,配料蛋白质含量,3.6,numeric,58254330.1
YOG2026050103,双歧杆菌数,发酵时间,6.8,numeric,67328428.8
YOG2026050103,双歧杆菌数,发酵温度,39.6,numeric,67328428.8
YOG2026050103,双歧杆菌数,菌种类型,Bb-12,categorical,67328428.8
YOG2026050103,双歧杆菌数,待装罐储存温度,4.2,numeric,67328428.8
YOG2026050103,双歧杆菌数,配料糖添加量,6.7,numeric,67328428.8
YOG2026050103,双歧杆菌数,配料蛋白质含量,3.2,numeric,67328428.8
YOG2026050104,双歧杆菌数,发酵时间,6.7,numeric,65029611.2
YOG2026050104,双歧杆菌数,发酵温度,39.2,numeric,65029611.2
YOG2026050104,双歧杆菌数,菌种类型,Bb-12,categorical,65029611.2
YOG2026050104,双歧杆菌数,待装罐储存温度,4.3,numeric,65029611.2
YOG2026050104,双歧杆菌数,配料糖添加量,7.4,numeric,65029611.2
YOG2026050104,双歧杆菌数,配料蛋白质含量,3.2,numeric,65029611.2
YOG2026050105,双歧杆菌数,发酵时间,7.7,numeric,69605720.4
YOG2026050105,双歧杆菌数,发酵温度,39.8,numeric,69605720.4
YOG2026050105,双歧杆菌数,菌种类型,Bb-12,categorical,69605720.4
YOG2026050105,双歧杆菌数,待装罐储存温度,4.1,numeric,69605720.4
YOG2026050105,双歧杆菌数,配料糖添加量,7.0,numeric,69605720.4
YOG2026050105,双歧杆菌数,配料蛋白质含量,3.4,numeric,69605720.4
YOG2026050106,双歧杆菌数,发酵时间,7.1,numeric,68021276.0
YOG2026050106,双歧杆菌数,发酵温度,39.1,numeric,68021276.0
YOG2026050106,双歧杆菌数,菌种类型,Bb-12,categorical,68021276.0
YOG2026050106,双歧杆菌数,待装罐储存温度,4.4,numeric,68021276.0
YOG2026050106,双歧杆菌数,配料糖添加量,7.6,numeric,68021276.0
YOG2026050106,双歧杆菌数,配料蛋白质含量,3.4,numeric,68021276.0
YOG2026050107,双歧杆菌数,发酵时间,6.7,numeric,63654482.1
YOG2026050107,双歧杆菌数,发酵温度,41.5,numeric,63654482.1
YOG2026050107,双歧杆菌数,菌种类型,HN019,categorical,63654482.1
YOG2026050107,双歧杆菌数,待装罐储存温度,4.0,numeric,63654482.1
YOG2026050107,双歧杆菌数,配料糖添加量,7.3,numeric,63654482.1
YOG2026050107,双歧杆菌数,配料蛋白质含量,3.7,numeric,63654482.1
YOG2026050108,双歧杆菌数,发酵时间,6.4,numeric,76177039.2
YOG2026050108,双歧杆菌数,发酵温度,40.2,numeric,76177039.2
YOG2026050108,双歧杆菌数,菌种类型,HN019,categorical,76177039.2
YOG2026050108,双歧杆菌数,待装罐储存温度,2.0,numeric,76177039.2
YOG2026050108,双歧杆菌数,配料糖添加量,7.1,numeric,76177039.2
YOG2026050108,双歧杆菌数,配料蛋白质含量,3.5,numeric,76177039.2
YOG2026050109,双歧杆菌数,发酵时间,7.4,numeric,71839660.2
YOG2026050109,双歧杆菌数,发酵温度,40.1,numeric,71839660.2
YOG2026050109,双歧杆菌数,菌种类型,Bb-12,categorical,71839660.2
YOG2026050109,双歧杆菌数,待装罐储存温度,3.9,numeric,71839660.2
YOG2026050109,双歧杆菌数,配料糖添加量,7.8,numeric,71839660.2
YOG2026050109,双歧杆菌数,配料蛋白质含量,3.2,numeric,71839660.2
YOG2026050110,双歧杆菌数,发酵时间,6.6,numeric,60556130.8
YOG2026050110,双歧杆菌数,发酵温度,39.6,numeric,60556130.8
YOG2026050110,双歧杆菌数,菌种类型,HN019,categorical,60556130.8
YOG2026050110,双歧杆菌数,待装罐储存温度,5.1,numeric,60556130.8
YOG2026050110,双歧杆菌数,配料糖添加量,8.2,numeric,60556130.8
YOG2026050110,双歧杆菌数,配料蛋白质含量,3.1,numeric,60556130.8
YOG2026050111,双歧杆菌数,发酵时间,7.2,numeric,71126182.4
YOG2026050111,双歧杆菌数,发酵温度,39.7,numeric,71126182.4
YOG2026050111,双歧杆菌数,菌种类型,BL21,categorical,71126182.4
YOG2026050111,双歧杆菌数,待装罐储存温度,3.3,numeric,71126182.4
YOG2026050111,双歧杆菌数,配料糖添加量,8.4,numeric,71126182.4
YOG2026050111,双歧杆菌数,配料蛋白质含量,3.7,numeric,71126182.4
YOG2026050112,双歧杆菌数,发酵时间,7.5,numeric,65502182.6
YOG2026050112,双歧杆菌数,发酵温度,39.3,numeric,65502182.6
YOG2026050112,双歧杆菌数,菌种类型,BL21,categorical,65502182.6
YOG2026050112,双歧杆菌数,待装罐储存温度,3.7,numeric,65502182.6
YOG2026050112,双歧杆菌数,配料糖添加量,8.2,numeric,65502182.6
